name	lat	lon	region	hub	catchment	crop	qty
Chimwala	-13.226456	32.660201	Chipangali	Chinunda	Chitandika	Soy Bean	10694.00
Chindo Cooperative Sheds	-9.3195803	31.7014065	Northern	Senga Hill	Kavumbo	Sugar bean	16950.00
Chingaipe	-13.525843	32.430805	Chipangali	Mphomwa	Mkowe	Groundnut	713.00
Chingaipe	-13.525843	32.430805	Chipangali	Mphomwa	Mkowe	Soy Bean	22700.00
Chinkhombe SNV	-13.947637	31.964392	Katete	Chanjoka-Kameta	Katete C	Soy Bean	3630.00
Chipanda	-9.2563105	31.3025094	Northern	Senga Hill	Senga	Navy Bean	6851.00
Chipanda	-9.2563105	31.3025094	Northern	Senga Hill	Senga	Sugar bean	8881.00
Chipemba	-10.1057741	30.1969933	Northern	Luwingu	Luwingu A	Navy Bean	8303.00
Chipemba	-10.1057741	30.1969933	Northern	Luwingu	Luwingu A	Sugar bean	6965.00
Chipembere Shed	-13.7922248	32.241459	Kasenengwa	Kasenengwa	Mzapawi	Groundnut	109.00
Chipembere Shed	-13.7922248	32.241459	Kasenengwa	Kasenengwa	Mzapawi	Soy Bean	24984.00
Chipembere Shed	-13.7922248	32.241459	Kasenengwa	Kasenengwa	Mzapawi	Sunnhemp	0.00
Chisanga	-10.0129666	30.3883827	Northern	Lunte	Lunte D	Navy Bean	6777.00
Chisanga	-10.0129666	30.3883827	Northern	Lunte	Lunte D	Sugar bean	8672.00
Chisengu	-13.316795	32.226257	Chipangali	Mphomwa	Chisengu	Groundnut	1731.00
Chisengu	-13.316795	32.226257	Chipangali	Mphomwa	Chisengu	Soy Bean	45674.00
Chitasha	-10.0597651	30.210818	Northern	Lunte	Lunte B	Navy Bean	9404.00
Chitasha	-10.0597651	30.210818	Northern	Lunte	Lunte B	Sugar bean	11921.00
Chiteu Shed	-13.7150567	32.3889967	Kasenengwa	Kasenengwa	Kasenengwa	Cowpea	17.00
Chiteu Shed	-13.7150567	32.3889967	Kasenengwa	Kasenengwa	Kasenengwa	Groundnut	634.00
Chiteu Shed	-13.7150567	32.3889967	Kasenengwa	Kasenengwa	Kasenengwa	Soy Bean	28505.00
Chiteu Shed	-13.7150567	32.3889967	Kasenengwa	Kasenengwa	Kasenengwa	Sunnhemp	22.00
chitoshi Davies	-10.1049754	30.1991785	Northern	Lunte	Lunte B	Navy Bean	14491.00
chitoshi Davies	-10.1049754	30.1991785	Northern	Lunte	Lunte B	Sugar bean	26450.00
Chitoshi Shed	-10.1048117	30.199158	Northern	Lunte	Lunte B	Navy Bean	11961.00
Chitoshi Shed	-10.1048117	30.199158	Northern	Lunte	Lunte B	Sugar bean	16887.00
Chitwa West	-14.4909	24.86635	Western	Mulambwa	Mulambwa North	Groundnut	12620.00
Chitwa West	-14.4909	24.86635	Western	Mulambwa	Mulambwa North	Soy Bean	1520.00
Chiyende Yende	-12.295627	33.040732	Chipangali	Nkhanga	Nkhanga	Groundnut	4893.00
Chizingizi	-12.155282	32.994042	Chipangali	Nkhanga	Nkhanga	Groundnut	2024.00
Chungu Shed	-13.696365	32.24466	Kasenengwa	Kasenengwa	Ng'ongwe	Cowpea	48.00
Chungu Shed	-13.696365	32.24466	Kasenengwa	Kasenengwa	Ng'ongwe	Soy Bean	31202.00
Chungu Shed	-13.696365	32.24466	Kasenengwa	Kasenengwa	Ng'ongwe	Sunflower	73.00
Chungu Shed	-13.696365	32.24466	Kasenengwa	Kasenengwa	Ng'ongwe	Sunnhemp	0.00
Clever Byendo Home	-14.609342	28.8263608	Kapiri	Likumbi	Likumbi	Groundnut	5414.00
Clever Byendo Home	-14.609342	28.8263608	Kapiri	Likumbi	Likumbi	Soy Bean	77647.00
DACO Shed	-9.95901	30.4292	Northern	Lunte	Lunte B	Navy Bean	400.00
DACO Shed	-9.95901	30.4292	Northern	Lunte	Lunte D	Navy Bean	16291.00
DACO Shed	-9.95901	30.4292	Northern	Lunte	Lunte D	Sugar bean	28820.00
Doris Mulenga - Lunte	-10.2125961	30.230826	Northern	Lunte	Lunte B	Navy Bean	6716.00
Doris Mulenga - Lunte	-10.2125961	30.230826	Northern	Lunte	Lunte B	Sugar bean	14680.00
Dowoko	-12.206067	33.064651	Chipangali	Nkhanga	Nkhanga	Groundnut	8956.00
Elijah	-12.165902	32.92437	Chipangali	Nkhanga	Nkhanga	Groundnut	2096.00
Eunice	-14.113242	31.900869	Katete	Chanjoka-Kameta	Katete B	Soy Bean	11371.00
Evaness Kapemba Home	-14.3632963	28.8839635	Kapiri	Likumbi	Likumbi	Groundnut	2625.00
Evaness Kapemba Home	-14.3632963	28.8839635	Kapiri	Likumbi	Likumbi	Soy Bean	21316.00
Fackson Tindiza Home	-14.37634	28.90492	Kapiri	Likumbi	Likumbi	Groundnut	2372.00
Fackson Tindiza Home	-14.37634	28.90492	Kapiri	Likumbi	Likumbi	Soy Bean	39960.00
Feni	-13.7360494	32.3084485	Kasenengwa	Kasenengwa	Kasenengwa	Cowpea	124.00
Feni	-13.7360494	32.3084485	Kasenengwa	Kasenengwa	Kasenengwa	Soy Bean	16285.00
Feni	-13.7360494	32.3084485	Kasenengwa	Kasenengwa	Kasenengwa	Sunflower	0.00
Fikunyu Community	-10.417535	30.1820917	Northern	Luwingu	Luwingu A	Navy Bean	8708.00
Fikunyu Community	-10.417535	30.1820917	Northern	Luwingu	Luwingu A	Sugar bean	17273.00
Francis Musonda - Lunte	-10.2018656	30.230826	Northern	Lunte	Lunte B	Navy Bean	22745.00
Francis Musonda - Lunte	-10.2018656	30.230826	Northern	Lunte	Lunte B	Sugar bean	21737.00
Gift Muyaba - Kasonde	-11.912434	25.62424	North-Western	Mukumbi	Mukumbi	Sugar bean	12292.00
Gift Mweeta Home	-14.4616649	28.8825986	Kapiri	Likumbi	Likumbi	Groundnut	916.00
Gift Mweeta Home	-14.4616649	28.8825986	Kapiri	Likumbi	Likumbi	Soy Bean	85070.00
Gulani 1	-15.3	28.1	Test Region	// Test District	// Test Camp 1	Soy Bean	250.00
Guma	-14.209733	31.973616	Katete	Chanjoka-Kameta	Katete A	Soy Bean	4554.00
Gundu	-12.155282	32.994042	Chipangali	Nkhanga	Nkhanga	Groundnut	1779.00
Gundu	-12.155282	32.994042	Chipangali	Nkhanga	Nkhanga	Soy Bean	275.00
Ignatius Mwenya - Kasonde	-10.1008982	29.9079921	Northern	Kawambwa	Kawambwa	Navy Bean	24195.00
Ignatius Mwenya - Kasonde	-10.1008982	29.9079921	Northern	Kawambwa	Kawambwa	Sugar bean	4638.00
Jackson Mulenga - Musundu	-10.0140762	29.8947691	Northern	Kawambwa	Kawambwa	Navy Bean	7981.00
Jackson Mulenga - Musundu	-10.0140762	29.8947691	Northern	Kawambwa	Kawambwa	Sugar bean	715.00
Jekapu	-8.996958	31.057197	Northern	Vyamba	Vyamba	Navy Bean	570.00
Jekapu	-8.996958	31.057197	Northern	Vyamba	Vyamba	Sugar bean	11986.00
John Chongo - Nkandabana	-9.95539	29.96274	Northern	Lunte	Lunte B	Navy Bean	950.00
John Chongo - Nkandabana	-9.95539	29.96274	Northern	Lunte	Lunte C	Navy Bean	6227.00
John Chongo - Nkandabana	-9.95539	29.96274	Northern	Lunte	Lunte C	Sugar bean	1910.00
Kabalachi Shed	-14.25738	24.3644	Western	Kalumwange	Kalumwange North	Groundnut	795.00
Kabalachi Shed	-14.25738	24.3644	Western	Kalumwange	Kalumwange North	Soy Bean	59721.00
Kabanga - B	-15.822126	26.9366945	North-Western	Mukumbi	Mukumbi	Sugar bean	6841.00
Kabishi	-11.9191682	25.4695144	North-Western	Musele & Kisasa	Musele & Kisasa	Sugar bean	1589.00
Kabwela	-10.20336	30.05551	Northern	Lunte	Lunte C	Navy Bean	15825.00
Kabwela	-10.20336	30.05551	Northern	Lunte	Lunte C	Sugar bean	2028.00
Kachete-chete	-13.940478	32.536891	Chadiza	Chadiza West	Chadiza West A	Soy Bean	9284.00
Kachibwe	-10.5953571	30.0913008	Northern	Luwingu	Luwingu B	Navy Bean	200.00
Kachibwe	-10.5953571	30.0913008	Northern	Luwingu	Luwingu B	Sugar bean	11765.00
Kachila	-13.6187933	32.1336317	Kasenengwa	Kasenengwa	Kampheta	Soy Bean	21813.00
Kachila	-13.6187933	32.1336317	Kasenengwa	Kasenengwa	Kampheta	Sunnhemp	11.00
Kachiwezhi	-12.31814	25.84645	North-Western	Musele & Kisasa	Musele & Kisasa	Sugar bean	2979.00
Kaembe	-10.0740724	30.046556	Northern	Lunte	Lunte C	Navy Bean	13150.00
Kaembe	-10.0740724	30.046556	Northern	Lunte	Lunte C	Sugar bean	23090.00
Kafunkha SNV	-14.079377	31.941639	Katete	Chanjoka-Kameta	Katete B	Soy Bean	594.00
Kagoro	-14.237725	32.071498	Katete	Chanjoka-Kameta	Katete C	Soy Bean	32954.00
Kagoro 4	-14.237869	32.124016	Katete	Chanjoka-Kameta	Katete C	Soy Bean	8044.00
Kajeje	-14.20154	24.96588	Western	Kalumwange	Kalumwange South	Groundnut	1305.00
Kajeje	-14.20154	24.96588	Western	Kalumwange	Kalumwange South	Soy Bean	14189.00
Kakumba SNV BBP	-12.389009	33.18132	Chipangali	Chasefu	MSUZI	Groundnut	648.00
Kalemba	-14.085299	32.6445007	Chadiza	Chadiza East	Chadiza East A	Soy Bean	23955.00
Kalumwange	-14.23983	24.96545	Western	Kalumwange	Kalumwange North	Groundnut	333.00
Kalumwange	-14.23983	24.96545	Western	Kalumwange	Kalumwange North	Soy Bean	22593.00
kalumwangwe B	-14.8301097	24.8087126	Western	Kalumwange	Kalumwange North	Groundnut	38.00
kalumwangwe B	-14.8301097	24.8087126	Western	Kalumwange	Kalumwange North	Soy Bean	3468.00
Kalundu	-10.2903251	29.387211	Northern	Chipili	Chipili	Navy Bean	7062.00
Kalundu	-10.2903251	29.387211	Northern	Chipili	Chipili	Sugar bean	6944.00
Kalyati	-9.28446	31.22429	Northern	Senga Hill	Senga	Navy Bean	4768.00
Kalyati	-9.28446	31.22429	Northern	Senga Hill	Senga	Sugar bean	10730.00
Kambale SNV BBP	-12.39488	33.284943	Chipangali	Chasefu	Chasefu	Groundnut	4138.00
Kambeteka	-11.8571	33.095697	Chipangali	Chasefu	Chasefu	Groundnut	3756.00
Kambeteka	-11.8571	33.095697	Chipangali	Chasefu	Chasefu	Soy Bean	2750.00
Kambwata	-13.53264	32.307625	Kasenengwa	Kasenengwa	Mzapawi	Soy Bean	13356.00
Kamchacha	-14.059294	32.328752	Chadiza	Chadiza West	Chadiza West A	Soy Bean	10607.00
Kamchacha	-14.059294	32.328752	Chadiza	Chadiza West	Chadiza West A	Sunnhemp	24.00
Kameta	-14.3491	32.06574	Katete	Chanjoka-Kameta	Katete C	Soy Bean	12431.00
Kamikolo	-11.934048	25.66842	North-Western	Mukumbi	Mukumbi	Sugar bean	36877.00
Kamoba	-13.299114	32.6941206	Chipangali	Chinunda	Mafuta	Groundnut	480.00
Kamoba	-13.299114	32.6941206	Chipangali	Chinunda	Mafuta	Soy Bean	3582.00
Kamphambe	-14.0529426	32.1382344	Katete	Chanjoka-Kameta	Katete A	Soy Bean	10273.00
Kamphambe SNV	-14.2759	32.0483	Katete	Chanjoka-Kameta	Katete C	Soy Bean	3036.00
Kampheta Village	-13.61495	32.081801	Kasenengwa	Kasenengwa	Kampheta	Soy Bean	2451.00
Kamwanjiri	-13.372645	32.30445	Chipangali	Mphomwa	Kamwanjiri	Soy Bean	21000.00
Kanabilumbu	-14.3704667	24.9202783	Western	Kalumwange	Kalumwange South	Groundnut	5307.00
Kanabilumbu	-14.3704667	24.9202783	Western	Kalumwange	Kalumwange South	Soy Bean	9628.00
Kangombe Shed	-13.9259985	32.2145096	Kasenengwa	Kasenengwa	Pwata	Cowpea	502.00
Kangombe Shed	-13.9259985	32.2145096	Kasenengwa	Kasenengwa	Pwata	Soy Bean	52825.00
Kangombe Shed	-13.9259985	32.2145096	Kasenengwa	Kasenengwa	Pwata	Sunflower	282.00
Kangombe Shed	-13.9259985	32.2145096	Kasenengwa	Kasenengwa	Pwata	Sunnhemp	336.00
Kankonzhi	-12.244953	25.23228	North-Western	Musele & Kisasa	Musele & Kisasa	Sugar bean	1230.00
Kansasa	-10.521884	30.103466	Northern	Luwingu	Luwingu B	Navy Bean	1046.00
Kansasa	-10.521884	30.103466	Northern	Luwingu	Luwingu B	Sugar bean	34999.00
Kanshimba	-10.69369	29.116566	Northern	Chipili	Chipili	Navy Bean	3960.00
Kanshimba	-10.69369	29.116566	Northern	Chipili	Chipili	Sugar bean	273.00
Kansomba	-13.73383	32.1957317	Kasenengwa	Kasenengwa	Ng'ongwe	Soy Bean	21062.00
Kanyikezhi	-11.99872	25.14801	North-Western	Musele & Kisasa	Musele & Kisasa	Sugar bean	7742.00
Kanyikezhi B	-12.06174292	25.16338963	North-Western	Musele & Kisasa	Musele & Kisasa	Sugar bean	5348.00
Kapachi	-14.0867828	32.6290335	Chadiza	Chadiza East	Chadiza East B	Soy Bean	21853.00
Kapachi	-14.0867828	32.6290335	Chadiza	Chadiza East	Chadiza East B	Sunflower	30.00
Kapachi	-14.0867828	32.6290335	Chadiza	Chadiza East	Chadiza East B	Sunnhemp	6.00
Kapenya	-13.490315	32.348467	Chipangali	Mphomwa	Mkowe	Groundnut	391.00
Kapenya	-13.490315	32.348467	Chipangali	Mphomwa	Mkowe	Soy Bean	21125.00
Kapilu	-12.0225807	33.1771167	Chipangali	Chasefu	Chasefu	Groundnut	4039.00
Kapilu	-12.0225807	33.1771167	Chipangali	Chasefu	Chasefu	Soy Bean	25.00
Kapoli 1	-9.3117489	31.2767635	Northern	Senga Hill	Senga	Navy Bean	4072.00
Kapoli 1	-9.3117489	31.2767635	Northern	Senga Hill	Senga	Sugar bean	10262.00
Kapoli 2	-9.3781214	31.2970567	Northern	Senga Hill	Senga	Navy Bean	4918.00
Kapoli 2	-9.3781214	31.2970567	Northern	Senga Hill	Senga	Sugar bean	6206.00
Kasambeni	-13.6040517	32.0253717	Kasenengwa	Kasenengwa	Kampheta	Soy Bean	23922.00
Kasambeni	-13.6040517	32.0253717	Kasenengwa	Kasenengwa	Kampheta	Sunnhemp	15.00
Kasenengwa Shed	-13.718052	32.322974	Kasenengwa	Kasenengwa	Kasenengwa	Groundnut	91.00
Kasenengwa Shed	-13.718052	32.322974	Kasenengwa	Kasenengwa	Kasenengwa	Soy Bean	25518.00
Kasenengwa Shed	-13.718052	32.322974	Kasenengwa	Kasenengwa	Kasenengwa	Sunflower	30.00
Kasenengwa Shed	-13.718052	32.322974	Kasenengwa	Kasenengwa	Kasenengwa	Sunnhemp	18.00
Kashambila	-12.26381	25.14149	North-Western	Musele & Kisasa	Musele & Kisasa	Sugar bean	2735.00
Katawa SNV	-14.202283	32.043068	Katete	Chanjoka-Kameta	Katete C	Soy Bean	957.00
Katongo	-10.09616	30.06171	Northern	Lunte	Lunte C	Navy Bean	6740.00
Katongo	-10.09616	30.06171	Northern	Lunte	Lunte C	Sugar bean	6960.00
Katongozola	-14.06308	32.18302	Chadiza	Chadiza West	Chadiza West B	Soy Bean	24517.00
Katongozola	-14.06308	32.18302	Chadiza	Chadiza West	Chadiza West B	Sunflower	60.00
Katopola SNV BBP	-12.49244	33.169832	Chipangali	Chasefu	MKOMBA	Groundnut	0.00
Katulo	-9.0165814	31.0150068	Northern	Vyamba	Vyamba	Navy Bean	539.00
Katulo	-9.0165814	31.0150068	Northern	Vyamba	Vyamba	Sugar bean	8653.00
Kaulasisi	-12.191596	32.949467	Chipangali	Nkhanga	Nkhanga	Groundnut	4481.00
Kaungo Shed	-13.6162617	32.07876	Kasenengwa	Kasenengwa	Kampheta	Soy Bean	17298.00
Kaungo Shed	-13.6162617	32.07876	Kasenengwa	Kasenengwa	Kampheta	Sunnhemp	14.00
Kavinaka SNV BBP	-12.354281	32.833372	Chipangali	Chasefu	MKOMBA	Groundnut	1724.00
Kavumbo	-9.1668822	31.5692065	Northern	Senga Hill	Kavumbo	Sugar bean	19196.00
Kawalala	-14.200383	31.810275	Katete	Chanjoka-Kameta	Katete B	Soy Bean	2450.00
Kawaza	-14.184929	32.31027	Chadiza	Chadiza West	Chadiza West B	Soy Bean	7195.00
Kawene	-13.96067	32.432316	Chadiza	Chadiza West	Chadiza West A	Soy Bean	21885.00
Kawene	-13.96067	32.432316	Chadiza	Chadiza West	Chadiza West A	Sunflower	60.00
Kawene	-13.96067	32.432316	Chadiza	Chadiza West	Chadiza West A	Sunnhemp	40.00
Kawowola SNV BBP	-12.401363	33.008997	Chipangali	Chasefu	KAMBALE	Groundnut	2069.00
Kayala Phiri - Champhala	-14.26586	31.94742	Katete	Chanjoka-Kameta	Katete B	Soy Bean	22713.00
Kennedy Mukuka - Nkandabana	-9.95539	29.574615	Northern	Lunte	Lunte C	Navy Bean	4390.00
Kennedy Mukuka - Nkandabana	-9.95539	29.574615	Northern	Lunte	Lunte C	Sugar bean	250.00
Kisasa	-12.10945	25.49242	North-Western	Musele & Kisasa	Musele & Kisasa	Sugar bean	4207.00
Kunda Shed	-13.832795	32.231905	Kasenengwa	Kasenengwa	Kwenje A	Soy Bean	52694.00
Kunda Shed	-13.832795	32.231905	Kasenengwa	Kasenengwa	Kwenje A	Sunflower	253.00
Kwaba	-13.3518326	32.70736	Chipangali	Chinunda	Mafuta	Groundnut	1033.00
Kwaba	-13.3518326	32.70736	Chipangali	Chinunda	Mafuta	Soy Bean	12130.00
Kyanika	-11.917132	25.68034	North-Western	Mukumbi	Mukumbi	Sugar bean	13076.00
Lameck Katebe Home	-14.50932	28.88596	Kapiri	Likumbi	Likumbi	Groundnut	1335.00
Lameck Katebe Home	-14.50932	28.88596	Kapiri	Likumbi	Likumbi	Soy Bean	32024.00
Lolo Bwela BBP	-10.29644	30.07419	Northern	Luwingu	Luwingu A	Navy Bean	6519.00
Lolo Bwela BBP	-10.29644	30.07419	Northern	Luwingu	Luwingu A	Sugar bean	11952.00
Lubinga	-12.1696233	25.7218867	North-Western	Mukumbi	Mukumbi	Sugar bean	2424.00
Lubushi	-10.245081	30.478785	Northern	Lunte	Lunte A	Navy Bean	14250.00
Lubushi	-10.245081	30.478785	Northern	Lunte	Lunte A	Sugar bean	7180.00
Lukhalo	-13.415439	32.606768	Chipangali	Mnukwa	Mnukwa	Groundnut	232.00
Lukhalo	-13.415439	32.606768	Chipangali	Mnukwa	Mnukwa	Soy Bean	15761.00
lunchu	-13.8766171	28.9090093	Kapiri	Mpula 1	Mpula 1	Groundnut	80.00
lunchu	-13.8766171	28.9090093	Kapiri	Mpula 1	Mpula 1	Soy Bean	35788.00
Lunyati	-14.2492533	24.8604883	Western	Kalumwange	Kalumwange North	Groundnut	80.00
Lunyati	-14.2492533	24.8604883	Western	Kalumwange	Kalumwange North	Soy Bean	7598.00
Lupososhi	-10.352216	29.475846	Northern	Chipili	Chipili	Navy Bean	5067.00
Lupososhi	-10.352216	29.475846	Northern	Chipili	Chipili	Sugar bean	8754.00
Lwenge	-10.1866282	29.9256279	Northern	Kawambwa	Kawambwa	Navy Bean	7258.00
Lwenge	-10.1866282	29.9256279	Northern	Kawambwa	Kawambwa	Sugar bean	12185.00
Lyanda	-9.5493917	31.4734267	Northern	Senga Hill	Senga	Navy Bean	3030.00
Lyanda	-9.5493917	31.4734267	Northern	Senga Hill	Senga	Sugar bean	8036.00
Lyson Tembo - Champhala	-14.2511315	31.9551481	Katete	Chanjoka-Kameta	Katete A	Soy Bean	9801.00
Mabanga	-11.996952	25.604533	North-Western	Mukumbi	Mukumbi	Sugar bean	17879.00
Magamba	-14.2543	31.983383	Katete	Chanjoka-Kameta	Katete A	Soy Bean	6233.00
Magoboza	-13.319758	32.700155	Chipangali	Chinunda	Mafuta	Groundnut	420.00
Magoboza	-13.319758	32.700155	Chipangali	Chinunda	Mafuta	Soy Bean	7837.00
Magomero	-13.689975	32.2013871	Kasenengwa	Kasenengwa	Mulima	Groundnut	184.00
